00e4:000e:006d:008e:00ac:00c0:0022:0057,00bc:00f6:003e:005f:0063:00c0:00b8:0086,62865,65040,IPv6
00bc:00f6:003e:005f:0063:00c0:00b8:0086,00e4:000e:006d:008e:00ac:00c0:0022:0057,65040,62865,IPv6
007d:007b:0058:009f:000b:003e:0017:00d7,00ed:00af:0068:00bf:00bc:004b:0002:00eb,320,32768,IPv6
00ed:00af:0068:00bf:00bc:004b:0002:00eb,007d:007b:0058:009f:000b:003e:0017:00d7,32768,320,IPv6
115.205.203.251,29.39.2.241,29310,27302,IPv4
29.39.2.241,115.205.203.251,27302,29310,IPv4
47.102.220.24,127.236.235.126,1213,62207,IPv4
127.236.235.126,47.102.220.24,62207,1213,IPv4
0045:0081:00f9:0045:006a:005c:00b2:00c0,005b:0087:0021:0016:005a:0083:00cb:003f,62543,36372,IPv6
005b:0087:0021:0016:005a:0083:00cb:003f,0045:0081:00f9:0045:006a:005c:00b2:00c0,36372,62543,IPv6
00e9:0085:0007:0011:0016:000f:003e:00e2,00f2:00d5:0024:0011:00f6:00c8:00fc:0004,53312,21593,IPv6
00f2:00d5:0024:0011:00f6:00c8:00fc:0004,00e9:0085:0007:0011:0016:000f:003e:00e2,21593,53312,IPv6
000d:00ed:006f:002a:0084:006c:00d9:0058,0038:007a:00f6:008f:004a:002b:00c1:0052,58005,62482,IPv6
0038:007a:00f6:008f:004a:002b:00c1:0052,000d:00ed:006f:002a:0084:006c:00d9:0058,62482,58005,IPv6
72.67.5.103,81.113.191.13,3135,9684,IPv4
81.113.191.13,72.67.5.103,9684,3135,IPv4
0097:002b:000f:00c2:0028:0092:0076:0046,00b8:0089:0094:0039:00be:0087:0052:001a,31892,8395,IPv6
00b8:0089:0094:0039:00be:0087:0052:001a,0097:002b:000f:00c2:0028:0092:0076:0046,8395,31892,IPv6
00f9:0053:006a:00c1:00d8:007f:00cb:00be,00d2:0040:0063:0070:0094:00df:0033:0047,54422,60045,IPv6
00d2:0040:0063:0070:0094:00df:0033:0047,00f9:0053:006a:00c1:00d8:007f:00cb:00be,60045,54422,IPv6
102.198.167.139,44.53.96.5,18713,41948,IPv4
44.53.96.5,102.198.167.139,41948,18713,IPv4
003b:008c:009a:00df:007e:000a:00c7:00c1,0021:006a:0098:006a:0019:0051:005e:00e0,664,18519,IPv6
0021:006a:0098:006a:0019:0051:005e:00e0,003b:008c:009a:00df:007e:000a:00c7:00c1,18519,664,IPv6
23.226.91.26,82.159.96.28,11551,228,IPv4
82.159.96.28,23.226.91.26,228,11551,IPv4
57.217.239.206,177.17.171.203,27249,18188,IPv4
177.17.171.203,57.217.239.206,18188,27249,IPv4
32.82.48.147,223.85.13.247,12566,50429,IPv4
223.85.13.247,32.82.48.147,50429,12566,IPv4
0043:0028:0098:0032:005e:005a:00e6:0097,00f1:0046:00a3:00de:0029:0070:0063:0027,62151,16134,IPv6
00f1:0046:00a3:00de:0029:0070:0063:0027,0043:0028:0098:0032:005e:005a:00e6:0097,16134,62151,IPv6
0084:00b4:00e1:00f0:005c:0046:00a8:00fe,0079:0087:009e:00aa:0024:0017:0081:0072,45031,58162,IPv6
0079:0087:009e:00aa:0024:0017:0081:0072,0084:00b4:00e1:00f0:005c:0046:00a8:00fe,58162,45031,IPv6
007c:0013:00e2:00f2:0067:00ad:00bf:008d,000c:002a:0082:001b:0018:00e7:0076:001d,26930,2219,IPv6
000c:002a:0082:001b:0018:00e7:0076:001d,007c:0013:00e2:00f2:0067:00ad:00bf:008d,2219,26930,IPv6
0043:0004:0028:0049:0086:0038:0049:00df,002c:001d:0029:00cb:00c6:0089:00ca:00fa,35559,26330,IPv6
002c:001d:0029:00cb:00c6:0089:00ca:00fa,0043:0004:0028:0049:0086:0038:0049:00df,26330,35559,IPv6
68.165.58.61,30.175.84.68,39806,13080,IPv4
30.175.84.68,68.165.58.61,13080,39806,IPv4
219.117.26.11,96.247.64.36,64152,8966,IPv4
96.247.64.36,219.117.26.11,8966,64152,IPv4
177.126.237.47,238.210.134.40,65420,39448,IPv4
238.210.134.40,177.126.237.47,39448,65420,IPv4
200.131.91.251,167.102.236.136,43206,35589,IPv4
167.102.236.136,200.131.91.251,35589,43206,IPv4
146.27.15.246,176.26.208.101,771,10085,IPv4
176.26.208.101,146.27.15.246,10085,771,IPv4
206.194.66.115,68.160.20.49,29531,43370,IPv4
68.160.20.49,206.194.66.115,43370,29531,IPv4
