00df:0080:000d:00f3:007c:00fb:0098:00d5,0014:004b:0066:00e5:004c:0051:004e:005f,29327,12817,IPv6
0014:004b:0066:00e5:004c:0051:004e:005f,00df:0080:000d:00f3:007c:00fb:0098:00d5,12817,29327,IPv6
142.111.241.119,6.172.125.114,33869,24338,IPv4
6.172.125.114,142.111.241.119,24338,33869,IPv4
2.157.23.223,209.232.130.204,1040,55820,IPv4
209.232.130.204,2.157.23.223,55820,1040,IPv4
152.28.171.47,12.86.246.131,63937,11158,IPv4
12.86.246.131,152.28.171.47,11158,63937,IPv4
00e7:00f6:0049:009b:0015:00af:00ba:00ff,0021:001d:0017:003c:00b9:00c0:0003:005c,59348,50269,IPv6
0021:001d:0017:003c:00b9:00c0:0003:005c,00e7:00f6:0049:009b:0015:00af:00ba:00ff,50269,59348,IPv6
187.23.57.91,153.249.74.21,52337,39840,IPv4
153.249.74.21,187.23.57.91,39840,52337,IPv4
00e4:0010:00be:0041:004f:00da:00e9:0011,002a:0049:0052:006a:0071:00e6:0080:0096,56803,20284,IPv6
002a:0049:0052:006a:0071:00e6:0080:0096,00e4:0010:00be:0041:004f:00da:00e9:0011,20284,56803,IPv6
228.231.230.242,232.59.191.2,14842,21454,IPv4
232.59.191.2,228.231.230.242,21454,14842,IPv4
143.221.150.28,180.66.247.188,20928,28674,IPv4
180.66.247.188,143.221.150.28,28674,20928,IPv4
00b0:0042:0070:0067:00dd:00f7:0036:00c1,009b:006d:00f8:0056:0054:0058:00c6:00a2,38833,29563,IPv6
009b:006d:00f8:0056:0054:0058:00c6:00a2,00b0:0042:0070:0067:00dd:00f7:0036:00c1,29563,38833,IPv6
65.122.159.42,16.211.230.11,65221,19315,IPv4
16.211.230.11,65.122.159.42,19315,65221,IPv4
180.200.19.163,120.122.228.235,7124,57239,IPv4
120.122.228.235,180.200.19.163,57239,7124,IPv4
199.111.71.212,59.105.118.249,40451,17747,IPv4
59.105.118.249,199.111.71.212,17747,40451,IPv4
0063:0084:0087:0026:00f7:00b6:005c:008f,00a9:0032:00e9:0029:00a0:001a:0098:00e0,24383,20827,IPv6
00a9:0032:00e9:0029:00a0:001a:0098:00e0,0063:0084:0087:0026:00f7:00b6:005c:008f,20827,24383,IPv6
54.150.181.135,223.123.67.250,18045,13086,IPv4
223.123.67.250,54.150.181.135,13086,18045,IPv4
232.66.49.11,52.31.60.116,63467,36810,IPv4
52.31.60.116,232.66.49.11,36810,63467,IPv4
76.89.255.170,64.33.85.56,13518,45712,IPv4
64.33.85.56,76.89.255.170,45712,13518,IPv4
004d:0060:009a:0081:0091:00d5:00db:00a2,005b:009e:00cc:00fc:004a:00f4:0023:005d,60386,24593,IPv6
005b:009e:00cc:00fc:004a:00f4:0023:005d,004d:0060:009a:0081:0091:00d5:00db:00a2,24593,60386,IPv6
75.121.150.2,58.48.35.237,8659,39748,IPv4
58.48.35.237,75.121.150.2,39748,8659,IPv4
185.193.208.27,67.37.96.223,4208,9971,IPv4
67.37.96.223,185.193.208.27,9971,4208,IPv4
189.203.146.131,239.173.219.83,5622,48428,IPv4
239.173.219.83,189.203.146.131,48428,5622,IPv4
4.186.219.184,4.169.62.101,59917,60261,IPv4
4.169.62.101,4.186.219.184,60261,59917,IPv4
0010:0071:00c8:0076:0015:005f:0023:00db,0019:0084:00a2:00af:005b:009d:0070:0063,45771,1451,IPv6
0019:0084:00a2:00af:005b:009d:0070:0063,0010:0071:00c8:0076:0015:005f:0023:00db,1451,45771,IPv6
103.131.206.62,205.237.82.214,12210,9142,IPv4
205.237.82.214,103.131.206.62,9142,12210,IPv4
0029:00d3:00b1:0006:00e2:00c4:0078:00d8,00b1:0020:008c:00b0:00e5:0083:00a3:0086,54384,48371,IPv6
00b1:0020:008c:00b0:00e5:0083:00a3:0086,0029:00d3:00b1:0006:00e2:00c4:0078:00d8,48371,54384,IPv6
0095:0044:00a2:0058:0018:0009:00ed:00e7,0046:00de:0049:001e:0092:009f:006a:0023,12372,32390,IPv6
0046:00de:0049:001e:0092:009f:006a:0023,0095:0044:00a2:0058:0018:0009:00ed:00e7,32390,12372,IPv6
121.90.253.7,90.70.118.43,23857,5975,IPv4
90.70.118.43,121.90.253.7,5975,23857,IPv4
00c2:0012:00c1:0025:0065:0016:0044:001a,0088:0017:0082:009b:007a:002a:002b:004e,23814,16248,IPv6
0088:0017:0082:009b:007a:002a:002b:004e,00c2:0012:00c1:0025:0065:0016:0044:001a,16248,23814,IPv6
175.132.73.57,191.195.28.205,51111,33504,IPv4
191.195.28.205,175.132.73.57,33504,51111,IPv4
008b:0077:0011:0095:0041:0043:0074:008e,00bc:004f:007b:001e:00d2:00ab:00fb:00de,49797,31646,IPv6
00bc:004f:007b:001e:00d2:00ab:00fb:00de,008b:0077:0011:0095:0041:0043:0074:008e,31646,49797,IPv6
59.46.30.130,249.75.52.150,4305,32857,IPv4
249.75.52.150,59.46.30.130,32857,4305,IPv4
0046:009b:000f:0086:00e4:00b9:002f:0051,0091:0004:0007:004d:00f1:0078:008c:0084,56882,39110,IPv6
0091:0004:0007:004d:00f1:0078:008c:0084,0046:009b:000f:0086:00e4:00b9:002f:0051,39110,56882,IPv6
211.76.241.65,88.90.243.140,21999,949,IPv4
88.90.243.140,211.76.241.65,949,21999,IPv4
00fd:0037:00a7:00db:00c1:0091:0071:008a,001a:0023:00f0:008a:00ee:005e:0050:00d6,34990,23935,IPv6
001a:0023:00f0:008a:00ee:005e:0050:00d6,00fd:0037:00a7:00db:00c1:0091:0071:008a,23935,34990,IPv6
235.173.111.34,102.106.37.101,40631,12369,IPv4
102.106.37.101,235.173.111.34,12369,40631,IPv4
00ed:0086:004b:00fd:00ad:0073:001b:004a,00e1:0082:00d7:002d:0081:002d:0095:00ae,45321,31026,IPv6
00e1:0082:00d7:002d:0081:002d:0095:00ae,00ed:0086:004b:00fd:00ad:0073:001b:004a,31026,45321,IPv6
0060:00f2:0006:000b:00fc:00f7:00c2:0050,000e:006c:002b:0056:00b2:0057:001b:0090,62915,45754,IPv6
